title,genres,is_comedy,is_european,is_scifi,is_action,is_crime,is_drama,is_animation,is_family,is_fantasy,is_music,is_romance,is_reality,is_western,is_thriller,is_horror,is_sport,is_documentation,is_war,is_history
In Family I Trust,"['romance', 'comedy', 'european']",True,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False
Criminal: Spain,"['crime', 'drama']",False,False,False,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False
Roped,"['drama', 'romance', 'family', 'comedy']",True,False,False,False,False,True,False,True,False,False,True,False,False,False,False,False,False,False,False
Do Do Sol Sol La La Sol,"['comedy', 'drama', 'music', 'romance']",True,False,False,False,False,True,False,False,False,True,True,False,False,False,False,False,False,False,False
A Remarkable Tale,"['comedy', 'drama', 'european']",True,True,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False
Was It Love?,"['drama', 'comedy', 'romance']",True,False,False,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False
Curon,"['scifi', 'drama']",False,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False
LEGO Marvel Avengers: Climate Conundrum,"['animation', 'family', 'action']",False,False,False,True,False,False,True,True,False,False,False,False,False,False,False,False,False,False,False
Making The Witcher,['documentation'],False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False
Athlete A,"['documentation', 'crime', 'sport']",False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,True,False,False
Saaho,"['thriller', 'action', 'crime', 'drama', 'romance']",False,False,False,True,True,True,False,False,False,False,True,False,False,True,False,False,False,False,False
Trouble,"['action', 'family', 'comedy', 'music', 'animation']",True,False,False,True,False,False,True,True,False,True,False,False,False,False,False,False,False,False,False
Rocko's Modern Life: Static Cling,"['animation', 'comedy', 'family', 'fantasy', 'scifi', 'action']",True,False,True,True,False,False,True,True,True,False,False,False,False,False,False,False,False,False,False
Catch! Teenieping,[],False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
Holiday on Mars,"['scifi', 'comedy']",True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
Blood & Water,['drama'],False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False
So My Grandma's a Lesbian!,"['comedy', 'romance', 'european']",True,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False
Mosul,"['drama', 'action', 'war']",False,False,False,True,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False
Sing On!,"['reality', 'music']",False,False,False,False,False,False,False,False,False,True,False,True,False,False,False,False,False,False,False
Lovestruck in the City,"['drama', 'romance']",False,False,False,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False
Jarhead: Law of Return,['war'],False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False
Twice Upon a Time,"['drama', 'romance', 'scifi', 'thriller', 'comedy']",True,False,True,False,False,True,False,False,False,False,True,False,False,True,False,False,False,False,False
